price,location,bedrooms,toilet,garage,LT,LB
459000000,"Mangga Dua, Jakarta Barat",1.0,1.0,,17.0,32.0
1230000000,"Cikupa Citra Raya, Tangerang",3.0,2.0,1.0,120.0,136.0
21000000000,"Ampera, Jakarta Selatan",4.0,3.0,9.0,1034.0,500.0
1600000000,"Ciangsana, Bogor",4.0,3.0,1.0,100.0,185.0
375000000,"Gresik, Gresik",2.0,1.0,1.0,72.0,72.0
1700000000,"Taman Surya, Jakarta Barat",2.0,2.0,1.0,5.0,5.0
3200000000,"Kuta, Badung",3.0,3.0,1.0,85.0,116.0
1350000000,"Karang Tengah, Tangerang",2.0,3.0,1.0,54.0,150.0
1950000000,"Cigadung, Bandung",3.0,3.0,2.0,100.0,120.0
890000000,"Pondok Aren, Tangerang Selatan",3.0,2.0,,102.0,72.0
1750000000,"Mulyosari, Surabaya",4.0,3.0,2.0,108.0,160.0
1800000000,"Summarecon Crown Gading, Bekasi",4.0,3.0,2.0,77.0,93.0
2420000000,"Jatiwarna, Bekasi",5.0,3.0,3.0,403.0,200.0
4680000000,"Pemogan, Denpasar",4.0,2.0,3.0,144.0,300.0
1700000000,"Renon, Denpasar",3.0,3.0,2.0,80.0,120.0
1390000000,"Pagedangan, Tangerang",3.0,2.0,,56.0,78.0
3400000000,"Gading Serpong Pondok Hijau Golf, Tangerang",3.0,3.0,1.0,9.0,180.0
2350000000,"Gading Serpong Scientia Garden, Tangerang",3.0,3.0,1.0,7.0,7.0
8900000000,"Sektor 1 - Bintaro, Jakarta Selatan",5.0,3.0,2.0,450.0,385.0
1700000000,"Kopo, Bandung",2.0,1.0,1.0,82.0,72.0
1200000000,"Pondok Cabe, Tangerang",3.0,2.0,1.0,57.0,72.0
1250000000,"Sedati, Sidoarjo",2.0,2.0,1.0,112.0,112.0
2100000000,"Villa Melati Mas, Tangerang Selatan",4.0,4.0,1.0,120.0,160.0
3500000000,"Sektor 7-Bintaro, Tangerang Selatan",4.0,3.0,2.0,120.0,163.0
10500000000,"Kedoya Selatan, Jakarta Barat",4.0,3.0,3.0,523.0,850.0
3400000000,"Pulo Asem, Jakarta Timur",5.0,4.0,1.0,130.0,200.0
650000000,"Kalisari, Jakarta Timur",3.0,2.0,,50.0,60.0
4000000000,"Lembang, Bandung Barat",5.0,4.0,3.0,240.0,210.0
869000000,"Sawah Besar, Jakarta Pusat",2.0,1.0,1.0,24.0,68.0
260000000,"Rangkapanjaya, Depok",2.0,1.0,,50.0,36.0
1630000000,"Mumbul, Badung",3.0,2.0,1.0,100.0,90.0
1750000000,"Gading Serpong Cluster Bohemia, Tangerang",3.0,2.0,2.0,90.0,150.0
18500000000,"Menteng Dalam, Jakarta Selatan",4.0,3.0,4.0,603.0,400.0
